Tiempo: 0.0608s, Fecha: 2017-06-28 17:24:34, H: localhost, File: /var/www/html/minha/core/async_payments.php, L: 159
Tiempo: 0.0086s, Fecha: 2017-06-28 17:24:34, H: localhost, File: /var/www/html/minha/core/async_payments.php, L: 159
Tiempo: 0.0022s, Fecha: 2017-06-28 17:24:34, H: localhost, File: /var/www/html/minha/core/async_payments.php, L: 159
Tiempo: 0.0022s, Fecha: 2017-06-28 17:24:34, H: localhost, File: /var/www/html/minha/core/async_payments.php, L: 159
Tiempo: 0.0018s, Fecha: 2017-06-28 17:26:15, H: localhost, File: /var/www/html/minha/core/async_payments.php, L: 159
Tiempo: 0.0035s, Fecha: 2017-06-28 17:26:15, H: localhost, File: /var/www/html/minha/core/async_payments.php, L: 159
Tiempo: 0.0019s, Fecha: 2017-06-28 17:26:15, H: localhost, File: /var/www/html/minha/core/async_payments.php, L: 159
Tiempo: 0.0033s, Fecha: 2017-06-28 17:26:15, H: localhost, File: /var/www/html/minha/core/async_payments.php, L: 159
Tiempo: 0.0309s, Fecha: 2017-06-28 17:26:15, H: localhost, File: /var/www/html/minha/core/async_payments.php, L: 159
Tiempo: 0.0045s, Fecha: 2017-06-28 17:26:15, H: localhost, File: /var/www/html/minha/core/async_payments.php, L: 159
Tiempo: 0.0019s, Fecha: 2017-06-28 17:31:51, H: localhost, File: /var/www/html/minha/core/async_payments.php, L: 160
Tiempo: 0.0022s, Fecha: 2017-06-28 17:32:15, H: localhost, File: /var/www/html/minha/core/async_payments.php, L: 160
Tiempo: 0.0021s, Fecha: 2017-06-28 17:33:44, H: localhost, File: /var/www/html/minha/core/async_payments.php, L: 160
Tiempo: 0.0021s, Fecha: 2017-06-28 17:34:15, H: localhost, File: /var/www/html/minha/core/async_payments.php, L: 160
Tiempo: 0.0021s, Fecha: 2017-06-28 17:35:50, H: localhost, File: /var/www/html/minha/core/async_payments.php, L: 160
Tiempo: 0.1130s, Fecha: 2017-06-28 17:36:53, H: localhost, File: /var/www/html/minha/core/async_payments.php, L: 163
